desc,tsne_x,tsne_y,desc_clear,target,target_num,labels_kmeans,labels_affinity_prop
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,30.862762,42.816372,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",71.2899,-2.801663,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",65.055565,-15.772552,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,41.611652,27.713318,ангар самолет вертолет московский область,ангар,2,26,18
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,30.030544,44.3852,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",71.22478,-3.510525,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",64.35747,-15.98468,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-0.6449709,86.114,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-4.368299,70.40493,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,26.71711,62.11119,черный бизнес джет москва,бизнес,10,52,20
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,12.915558,57.6338,ангар стоянка бизнес джет москва,ангар,2,65,17
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,38.000713,55.764767,бизнес джет москва цао,бизнес,10,68,13
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,40.984943,26.671114,ангар самолет вертолет московский область,ангар,2,26,18
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",0.7667678,85.54835,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-3.7658138,69.11428,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,25.962364,64.49003,черный бизнес джет москва,бизнес,10,52,20
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,14.758259,57.506298,ангар стоянка бизнес джет москва,ангар,2,65,17
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,37.885326,56.455013,бизнес джет москва цао,бизнес,10,68,13
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,31.652527,44.399242,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",71.94137,-1.2637407,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",66.29574,-15.625183,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,41.62966,26.946032,ангар самолет вертолет московский область,ангар,2,26,18
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-4.698507,69.9592,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-0.7119285,85.51544,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,27.471725,62.93194,черный бизнес джет москва,бизнес,10,52,20
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,13.285471,56.98984,ангар стоянка бизнес джет москва,ангар,2,65,17
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,37.87385,57.449963,бизнес джет москва цао,бизнес,10,68,13
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,30.865744,45.217644,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",70.28259,-2.9665267,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",63.967937,-14.936898,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
"Дом для съемок кино, рекламы, сериалов и клипов",18.106848,-38.159977,дом ,дом,18,38,23
"Особняк в Москве для съемок кино, рекламы, сериалов, клипов.",11.840219,27.487658,особняк москва ,none,0,70,110
"Квартира в ЖК Вишневый сад для съемок кино, рекламы, сериалов, клипов.",-42.639202,-20.47161,квартира жк вишневый сад ,квартира,27,99,64
"Квартира с панорамными окнами в ЖК Сады Пекина для съемок кино, рекламы, сериалов, клипов.",-43.02959,-20.24828,квартира панорамный окно жк сад пекин ,квартира,27,99,64
"Квартира для съемок кино, рекламы, сериалов, клипов.",-38.530327,-11.710463,квартира ,квартира,27,20,26
"Дом Сосновый бор для съемок кино, рекламы, сериалов, клипов.",15.682892,-37.436028,дом сосновый бор ,дом,18,38,23
"Дом в Маслово для съемок кино, рекламы, сериалов, клипов.",19.365969,-37.51263,дом маслово ,дом,18,29,23
"Офис для съемок кино, рекламы, сериалов, клипов.",27.279072,10.413993,офис ,офис,42,69,11
"Дом Горки для съемок кино, рекламы, сериалов, клипов.",23.314905,-32.554363,дом горка ,дом,18,38,25
"Дом Голиково для съемок кино, рекламы, сериалов, клипов.",16.48278,-37.615612,дом голиковый ,дом,18,38,23
"Квартира на улице Островитянова для съемок кино, сериалов, рекламы, клипов",-37.561085,-8.857298,квартира улица островитянов ,квартира,27,54,28
"Дом на Новорижском шоссе для проведения съемок кино, рекламы, сериалов, клипов.",15.323414,-35.41282,дом новорижский шоссе проведение ,дом,18,38,79
"Лофт для съемок кино, рекламы, сериалов, клипов.",26.622643,10.015005,лофт ,лофт,36,69,11
"Пентхаус в центре для съемок кино, рекламы, сериалов, клипов.",10.331432,16.025316,пентхаус центр ,центр,74,5,24
"Квартира в Красногорске для съемок кино, рекламы, сериалов, клипов.",-38.46308,-8.826241,квартира красногорск ,квартира,27,54,26
"Ресторан для съемок кино, рекламы, сериалов, клипов",-11.213161,41.766537,ресторан ,ресторан,57,97,110
"Дом в 12км по Пятницкому шоссе для съемок кино, рекламы, сериалов, клипов.",17.191458,-35.80148,дом 12км пятницкий шоссе ,дом,18,38,23
"Квартира Курская для съемок кино, рекламы, сериалов, клипов.",-39.461967,-12.620501,квартира курская ,квартира,27,54,27
"Современный научный центр для съемок кино, сериалов, рекламы, клипов.",6.2538314,14.594722,современный научный центр ,центр,74,5,24
"Современный офис для съемок кино, сериалов, рекламы, клипов.",27.91392,10.323442,современный офис ,офис,42,69,11
"Офис для съемок кино, сериалов, рекламы, клипов.",27.294847,10.439068,офис ,офис,42,69,11
"Дом в Снегирях для съемок кино, сериалов, рекламы, клипов.",16.146048,-36.995674,дом снегирь ,дом,18,38,23
"Недостроенный дом для съемок кино, рекламы, клипов, сериалов.",1.3146104,-11.086755,недостроенный дом съемка кино реклама клип сериал,дом,18,84,51
"Дом на Минском шоссе для съемок кино, сериалов, рекламы, клипов.",23.10257,-32.11137,дом минский шоссе ,дом,18,38,25
"Дом в Боровске для съемок кино, сериалов, клипов, рекламы.",0.81502277,-10.664952,дом боровск съемка кино сериал клип реклама,дом,18,84,51
"Офис для съемок кино, сериалов, рекламы, клипов.",27.404766,10.457839,офис ,офис,42,69,11
"Дом на Калужском шоссе для съемок кино, сериалов, рекламы, клипов",17.592197,-35.720417,дом калужский шоссе ,дом,18,38,23
"Квартира на Большой Филевской для съемок кино, сериалов, рекламы, клипов.",-33.185196,-22.86163,квартира большой филевский ,квартира,27,60,83
"Дом в Былово (Калужское шоссе) для съемок кино, сериалов, рекламы, клипов.",17.014153,-35.77141,дом былово калужский шоссе ,дом,18,38,23
"Пентхаус для проведения съемок кино, сериалов, рекламы, клипов.",12.335479,13.123082,пентхаус проведение ,none,0,12,50
"Квартира на Новослободской для съемок кино, сериалов, клипов, рекламы.",-0.25903273,-10.622298,квартира новослободский съемка кино сериал клип реклама,квартира,27,84,51
"Белый дом для съемок кино, сериалов, рекламы, клипов.",18.262424,-38.759468,белый дом ,дом,18,38,23
"Клуб для съемок кино, сериалов, клипов, рекламы.",0.8653514,-11.823381,клуб съемка кино сериал клип реклама,клуб,31,84,51
"Дом в Красногорске для съемок кино, сериалов, клипов, рекламы.",1.2069719,-11.150603,дом красногорск съемка кино сериал клип реклама,дом,18,84,51
"Квартира на Сухаревской для съемок кино, рекламы, сериалов, клипов",-43.00824,-10.1303425,квартира сухаревский ,квартира,27,20,26
"Квартира на Большой Дорогомиловской для съемок кино, рекламы, сериалов, клипов",-32.966717,-23.625433,квартира большой дорогомиловский ,квартира,27,36,26
"Квартира на Ходынке для съемок кино, рекламы, сериалов, клипов",-42.992126,-10.092167,квартира ходынка ,квартира,27,20,26
"Дом на Каширском шоссе для съемок кино, рекламы, сериалов, клипов",19.450079,-37.335773,дом каширский шоссе ,дом,18,29,23
"Квартира на Академической для съемок кино, рекламы, сериалов, клипов",-34.390545,-21.598469,квартира академический ,квартира,27,60,41
"Квартира в Павшинской пойме для съемок кино, рекламы, сериалов, клипов",-39.505177,-13.99215,квартира павшинский пойма ,квартира,27,54,27
"Квартира в Павшинской пойме для съемок кино, рекламы, сериалов, клипов",-39.532177,-13.966988,квартира павшинский пойма ,квартира,27,54,27
"Предлагаем заброшенное здание для проведения съемок кино, теле проектов и рекламы.",10.249449,2.6809425, забросить здание  реклама,здание,22,93,6
"Предлагаем квартиру на Кутузовском проспекте для проведения съемок кино, теле проектов и рекламы.",-41.08048,-12.680541, квартира кутузовский проспект  реклама,квартира,27,54,27
"Предлагаем квартиру на Ленинском проспекте для проведения съемок кино, теле проектов и рекламы.",-40.014038,-14.307352, квартира ленинский проспект  реклама,квартира,27,54,27
Предлагаем квартиру в центре Москвы для проведения съемок кино и теле проектов.,-15.721134,20.315, квартира центр москва ,квартира,27,20,26
"Предлагаем квартиру для съемок кино, сериалов, теле и фото проектов",-19.893688,-16.655493, квартира съемка кино сериал тело фото проект,квартира,27,7,30
Предлагаем дом в районе бетонки для проведения съемок кино и теле проектов.,14.847179,-36.224155, дом район бетонка ,дом,18,38,79
Предлагаем дом в Ватутинках для проведения съемок кино и теле проектов.,17.167725,-36.890213, дом ватутинка ,дом,18,38,23
Предлагаем частный загородный дом для проведения съемок кино и теле проектов.,-0.65288246,-46.79876, частный загородный дом ,дом,18,57,62
Предлагаем квартиру в Москва-Сити для проведения съемок кино и теле проектов.,-15.661863,20.456915, квартира москва сити ,квартира,27,20,26
Предлагаем квартиру в стиле лофт в районе Мытищи для проведения съемок кино и теле проектов.,-42.947193,-22.090456, квартира стиль лофт район мытищи ,квартира,27,56,59
Предлагаем дом на Минском шоссе для проведения съемок кино и теле проектов.,23.05071,-32.067554, дом минский шоссе ,дом,18,38,25
Предлагаем дом на Минском шоссе для проведения съемок кино и теле проектов.,23.062729,-32.167076, дом минский шоссе ,дом,18,38,25
Предлагаем дом в 27 км от Москвы ля проведения съемок кино и теле проектов.,4.6989417,-15.354582, дом 27 км москва ля ,дом,18,29,70
Предлагаем особняк для проведения съемок кино и теле проектов.,18.0474,10.903406, особняк ,none,0,12,12
Предлагаем отделение полиции для проведения съемок кино и теле проектов.,-32.464226,-15.62387, отделение полиция ,none,0,54,28
Предлагаем гостиницу класса люкс для проведения съемок кино и теле проектов.,-17.87352,-9.117872, гостиница класс люкс ,гостиница,17,54,28
Предлагаем ДК советской эпохи для проведения съемок кино и теле проектов.,7.0506134,13.72281, дк советский эпоха ,none,0,5,24
Предлагаем квартиру на Китай-городе для проведения съемок кино и теле проектов.,-39.084297,-12.896319, квартира китай-город ,квартира,27,54,27
Предлагаем квартиру для съемок кино и теле проектов рядом с Винзаводом,-19.896257,-16.149044, квартира съемка кино тело проект рядом винзавод,квартира,27,7,30
Предлагаем Квартиру для съемок кино и теле проектов рядом с Винзаводом,-19.877697,-16.149149, квартира съемка кино тело проект рядом винзавод,квартира,27,7,30
Офис для съемок кино и теле проектов.,15.9029665,-1.6802576,офис съемка кино тело проект,офис,42,94,29
Предлагаем квартиру метро Аэропорт для съемок кино и теле проектов.,-20.577547,-16.383778, квартира метро аэропорт съемка кино тело проект,квартира,27,7,30
Предлагаем дом на Новорижском шоссе для проведения съемок кино и теле проектов.,16.555737,-35.98843, дом новорижский шоссе ,дом,18,38,23
Предлагаем большой дом на Дмитровском шоссе для проведения съемок кино и теле проектов.,20.22132,-35.64498, большой дом дмитровский шоссе ,дом,18,38,25
Предлагаем лофт на Тульской для проведения съемок кино и теле проектов.,24.524479,10.245885, лофт тульский ,лофт,36,27,118
Предлагаем квартиру в Тропарево для проведения съемок кино и теле проектов.,-39.41371,-12.612041, квартира тропарево ,квартира,27,54,27
Предлагаем автосервис на севере Москвы для проведения съемок кино и теле проектов.,9.603371,20.107447, автосервис север москва ,автосервис,1,70,110
Предлагаем большой пустой пентхаус в центре Москвы для проведения съемок кино и теле проектов.,10.441603,18.80927, большой пустой пентхаус центр москва ,центр,74,29,24
Предлагаем квартиру в Москве на реке Яуза для проведения съемок кино и теле проектов.,-15.956509,18.979767, квартира москва река яуза ,квартира,27,20,26
Предлагаем дизайнерскую квартиру в центре Москвы для проведения съемок кино и теле проектов.,-15.394765,20.84928, дизайнерский квартира центр москва ,квартира,27,20,26
Предлагаем пространство - галерею для проведения съемок кино и теле проектов,17.775381,-19.575926, пространство галерея ,пространство,54,63,87
Предлагаем офис с дорогим ремонтом для проведения съемок кино и теле проектов.,24.37853,10.259507, офис дорогой ремонт ,офис,42,27,47
Предлагаем квартиру в ЖК Алые Паруса для проведения съемок кино и теле проектов.,-35.256557,-15.661399, квартира жк алый парус ,квартира,27,56,27
Предлагаем квартиру рядом с метро Аэропорт для проведения съемок кино и теле проектов.,-34.74085,-20.870104, квартира рядом метро аэропорт ,квартира,27,60,41
Предлагаем частный дом в Алтуфьево для проведения съемок кино и теле проектов,-0.47712195,-45.9979, частный дом алтуфьево ,дом,18,38,23
Предлагаем 2-х этажный пентхаус для проведения съемок кино и теле проектов.,-12.203665,11.964352, 2 х этажный пентхаус ,none,0,5,99
Предлагаем квартиру в Триумф Палас для проведения съемок кино и теле проектов.,-39.41745,-14.254932, квартира триумф палас ,квартира,27,54,27
Предлагаем виллу в Беседах для съемок кино и теле проектов.,-18.76191,-15.168648, вилла беседа съемка кино тело проект,none,0,94,29
"Квартира на Шаболовке для съемок кино, рекламы, сериалов, клипов.",-38.30481,-12.96918,квартира шаболовка ,квартира,27,54,27
Предлагаем квартиру в Черемушках для съемок кино и теле проектов.,-20.574951,-17.500885, квартира черемушки съемка кино тело проект,квартира,27,7,30
Квартира в историческом центре Москвы для проведения съемок кино и теле проектов.,-15.307882,20.768536,квартира исторический центр москва ,квартира,27,20,26
Предлагаем пространство площадью 1000 кв.м для проведения съемок кино и теле проектов.,8.076969,-21.771816, пространство площадь 1000 кв м ,пространство,54,3,108
Предлагаем квартиру в районе м.Юго-Западная для проведения съемок кино и теле проектов,-37.007675,-9.997291, квартира район м юго-западный ,квартира,27,54,27
Предлагаем квартиру в стиле лофт для проведения съемок кино и теле проектов,-30.54291,-27.369385, квартира стиль лофт ,квартира,27,93,11
"Предлагаем квартиру в Москве для проведения съемок кино, рекламы, сериалов и клипов",-17.48285,21.344307, квартира москва проведение ,квартира,27,20,26
Локейшн. Предлагаем пространство в стиле лофт в центре Москвы для проведения съемок кино и теле проектов.,19.371292,17.076563,локейшн  пространство стиль лофт центр москва ,пространство,54,80,86
Предлагаем коттедж для проведения съемок кино и теле проектов,14.576182,10.526086, коттедж ,none,0,12,93
Предлагаем старую типографию для проведения съемок кино и теле проектов,-12.884351,-4.001805, старый типография ,none,0,12,93
Предлагаем для проведения киносъемок и фотосессий небольшой лофт,-6.369096,-19.921661, проведение киносъемка фотосессия небольшой лофт,лофт,36,89,47
Предлагаем квартиру-студию для проведения съемок кино и теле проектов,-38.52152,-11.851969, квартира студия ,квартира,27,54,27
Предлагаем квартиру на проспекте Машала Жукова для проведения съемок кино и теле проектов,-38.210762,-15.42989, квартира проспект машал жуков ,квартира,27,67,27
Предлагаем помещение-квартиру лофт для проведения съемки кино и теле проектов,-37.356567,-12.631538, помещение квартира лофт ,помещение,51,61,28
Предлагаем квартиру на 22 этаже площадью 200 квадратных метров для проведения съемок кино и теле проектов,-20.533278,-3.848887, квартира 22 этаж площадь 200 квадратный метр ,квартира,27,67,97
Предлагаем офис в стиле hi-tech в башне Москва Сити для проведения съемок кино и теле проектов.,7.4597764,17.91335, офис стиль hi tech башня москва сити ,офис,42,5,6
Предлагаем офис рекламного агентства для проведения съемок кино и теле проектов,31.297089,13.457104, офис рекламный агентство ,офис,42,27,54
Предлагаем переговорную для проведения съемок кино и теле проектов,16.01019,13.376215, переговорный ,none,0,12,93
"Предлагаем хоккейный стадион, включающий в себя лед и хоккейную раздевалку, для проведения съемок кино и теле проектов",6.9204993,-19.410406, хоккейный стадион включать лед хоккейный раздевалка ,стадион,62,87,108
Предлагаем футбольный стадион для проведения съемки кино и теле проектов,18.365192,-38.92693, футбольный стадион ,стадион,62,29,118
Предлагаем помещение лофт на заводе для проведения съемок кино и теле проектов,10.405003,2.7336872, помещение лофт завод ,помещение,51,93,6
Предлагаем офис в стиле лофт на набережной для проведения съемок кино и теле проектов.,25.54962,4.8777533, офис стиль лофт набережная ,офис,42,80,11
Предлагаем водозабор для проведения съёмок кино и теле проектов.,11.504327,15.108556, водозабор ,none,0,12,28
Предлагаем необычный дом в Москве для проведения съёмок кино и теле проектов.,16.671856,26.183107, необычный дом москва ,дом,18,29,101
Предлагаем офис на Динамо для проведения съёмок кино и теле проектов,30.400238,13.087797, офис динамо ,офис,42,27,61
Предлагаем дом в Большаково для проведения съемок кино и теле проектов.,16.10551,-37.01803, дом большаковый ,дом,18,38,23
Предлагаем порт для проведения съемок кино и теле проектов.,12.325979,15.371199, порт ,none,0,12,28
Предлагаем квартиру на Покровском бульваре для проведения съемок кино и теле проектов,-41.233944,-11.875816, квартира покровский бульвар ,квартира,27,16,37
Предлагаем академию для проведения съемок кино и теле проектов,11.509586,15.071473, академия ,none,0,12,28
Предлагаем просторную квартиру в Сокольниках для съемок кино и теле проектов,-20.740608,-16.121288, просторный квартира сокольники съемка кино тело проект,квартира,27,7,30
Предлагаем два соседних офиса в бизнес центре для проведения киносъемок,34.73837,20.125292, соседний офис бизнес центр проведение киносъемка,офис,42,64,109
Предлагаем трехкомнатную квартиру на Ленинском проспекте для проведения съемок кино и теле проектов.,-38.874935,-14.942231, трехкомнатный квартира ленинский проспект ,квартира,27,67,27
Предлагаем загородный коттедж для проведения съемок кино и теле проектов.,12.622784,9.795316, загородный коттедж ,none,0,29,33
Предлагаем арт пространство для проведения съемок кино и теле проектов.,27.1689,-27.163422, арт пространство ,арт,4,98,12
Предлагаем крытый бассейн на 10 дорожек с трибунами для съемок кино и теле проектов.,-19.49077,-17.46256, крыть бассейн 10 дорожка трибуна съемка кино тело проект,бассейн,8,7,29
Предлагаем закрытый двор для проведения киносъемок.,0.98013604,6.029898, закрытый двор проведение киносъемка,none,0,64,31
"Предлагаем шикарную квартиру для съемок кино и теле проектов. Элитный двор, вид на МГУ.",-20.43616,-17.624622, шикарный квартира съемка кино тело проект элитный двор вид мгу,квартира,27,7,30
Предлагаем современный лекционный зал для съемок кино и теле проектов.,-17.776096,-14.990496, современный лекционный зал съемка кино тело проект,зал,20,94,29
Предлагаем наклонную аудиторию в одном из ВУЗов Москвы для съемок кино и теле проектов.,-18.776665,-15.193661, наклонный аудитория вуз москва съемка кино тело проект,none,0,94,29
Деревянный лекционный зал в высшем учебном заведении Москвы для съемок кино и теле проектов.,-17.912329,-15.033111,деревянный лекционный зал высокий учебный заведение москва съемка кино тело проект,зал,20,94,29
Предлагаем старинный гостиничный корпус на территории дома отдыха для съемок кино и теле проектов.,0.555381,-8.39392, старинный гостиничный корпус территория дом отдых съемка кино тело проект,дом,18,84,29
Предлагаем офис в башне бизнес центра Москва-Сити для съемок кино и теле проектов.,16.03736,-1.3657391, офис башня бизнес центр москва сити съемка кино тело проект,офис,42,94,29
Предлагаем в аренду вертолетную площадку на крыше для проведения съемок кино и теле проектов.,-16.541882,-1.590812, аренда вертолетный площадка крыша ,площадка,46,40,48
Предлагаем стеклянный бизнес центр для проведения съемок кино и теле проектов.,8.223767,10.377675, стеклянный бизнес центр ,бизнес,10,29,110
Предлагаем в аренду квартиру-студию на Маяковской для проведения съемок кино и теле проектов.,-38.60658,-15.804058, аренда квартира студия маяковская ,квартира,27,67,27
"Предлагаем квартиру для съемок недалеко от метро Таганская. 3 комнаты, 5 этаж сталинского дома.",8.168704,-5.5349894, квартира съемка недалеко метро таганский 3 комната 5 этаж сталинский дом,квартира,27,84,81
"Предлагаем аэродром в Московской области для съемок кино и теле проектов. Включает в себя летное поле, ангар для самолетов и центр управления полетами.",8.480007,6.6309195, аэродром московский область съемка кино тело проект включать летный поле ангар самолет центр управление полет,ангар,2,64,79
Предлагаем цирк для проведения съемок кино и теле проектов.,12.2611885,15.368065, цирк ,none,0,12,28
Предлагаем Загородный дом в 16 км по Новосходнинскому шоссе. На участке расположены два дома и гараж.,4.404137,-57.451008, загородный дом 16 км новосходнинский шоссе участок располагать дом гараж,дом,18,42,38
Предлагаем подвал с катакомбами для проведения съемок кино и теле проектов. Смотрите все кинообъекты на нашем сайте.,-13.442096,-19.754942, подвал катакомба  смотреть весь кинообъект наш сайт,подвал,49,18,114
"Предлагаем в качестве кинообъекты два заброшенных здания. Разруха, дыры в стенах, - все как полагается. Смотрите все кинообъекты на нашем сайте и в Facebook.",-5.8893356,0.35015023," качество кинообъект забросить здание разруха дыра стена , -  полагаться смотреть весь кинообъект наш сайт facebook",здание,22,18,113
Предлагаем котельную в качестве кинообъекта для проведения съемок теле проектов.,-8.612179,7.823934, котельная качество кинообъект проведение съемка тело проект,none,0,96,29
"Дом в Опалихе для съемок кино, рекламы, сериалов, клипов.",16.325035,-37.57849,дом опалиха ,дом,18,38,23
Предлагаем офис в стиле лофт для проведения съемок кино и теле проектов.,27.081894,6.014121, офис стиль лофт ,офис,42,81,11
Предлагаем усадьбу с прилегающим к ней парком на юге Москвы (7 км от МКАД) для проведения съемок кино и теле проектов.,3.0113223,-18.588303, усадьба прилегать парк юг москва 7 км мкад ,усадьба,69,3,70
"Советский спорткомплекс, категории: Спортивные учреждения Бассейны Бани и сауны Футбол, баскетболл, волейболл, теннис Гимнастические залы, манежы и стадионы Лефортово Другие виды спорта Бокс, борьба Фитнес-клубы",-11.094023,-40.47954,советский спорткомплекс  спортивный учреждение бассейн баня сауна футбол баскетболла волейболла теннис гимнастический зала манежы стадион лефортово вид спорт бокс борьба фитнес-клуб,учреждение,70,82,32
"Уютный фитнес центр, категории: Фитнес-клубы Тверской",-11.496947,-28.942282,уютный фитнес центр  фитнес-клуб тверской,фитнес,71,28,33
"Мини гостиница под крышей, категории: Отели, гостиницы, хостелы Замоскворечье",-29.415024,12.036733,мини гостиница крыша  отель гостиница хостел замоскворечье,гостиница,17,37,46
"Восточный фитнес центр, категории: Фитнес-клубы Обручевский район",-3.112423,2.5480068,восточный фитнес центр  фитнес-клуб обручевский район,фитнес,71,28,33
"Квартира в синих тонах, категории: Квартиры Алексеевский",-46.49311,-17.260672,квартира синий тон  квартира алексеевский,квартира,27,16,42
"Латиноамериканский бар, категории: Рестораны и кафе Центральный",-14.874037,42.89756,латиноамериканский бар  ресторан кафе центральный,бар,7,78,78
"Современный спа фитнес, категории: Фитнес-клубы Таганский",-7.079188,19.2474,современный спа фитнес  фитнес-клуб таганский,фитнес,71,55,34
"Кафе для Бизнес Ланча, категории: Рестораны и кафе Пресненский",-11.534231,45.161186,кафе бизнес ланч  ресторан кафе пресненский,кафе,25,78,76
"Батуты для детей, категории: Другие виды спорта Бирюлёво Западное",16.965506,-29.739943,батут ребенок  вид спорт бирюлево западный,вид,13,47,68
"Балетная студия, категории: Другие виды спорта Черёмушки",12.550878,-29.835592,балетный студия  вид спорт черемушки,студия,63,11,80
"Развлекательный детский комплекс, категории: Арбат Ледовые холлы Другие виды спорта",13.994635,-29.476717,развлекательный детский комплекс  арбат ледовый холл вид спорт,комплекс,32,36,80
"Спорт центр для детей, категории: Частные учебные заведения Гимнастические залы, манежы и стадионы Даниловский район",-5.654831,-40.712425,спорт центр ребенок  частный учебный заведение гимнастический зала манежы стадион даниловский район,спорт,61,88,43
"Профессиональный лед, категории: Ледовые холлы Можайский район",14.645825,-27.56506,профессиональный лед  ледовый холл можайский район,холл,73,23,80
"Огромная ресторация, категории: Рестораны и кафе Даниловский район Крылатское",-16.549425,39.001823,огромный ресторация  ресторан кафе даниловский район крылатский,ресторан,57,85,78
"Шоурум модной плитки, категории: Супермаркеты и рынки Филёвский Парк",-4.2408895,-3.1661673,шоурум модный плитка  супермаркет рынок филевский парк,супермаркет,64,3,119
"Пространство для работы и творчества, категории: Басманный ПРОСТРАНСТВА",6.9856944,-23.935324,пространство работа творчество  басманный пространство,пространство,54,3,82
"Городской каток, категории: Басманный Открытые площадки",-20.645533,5.880403,городской каток  басманный открытый площадка,площадка,46,83,1
"Классический каток, категории: Ледовые холлы Орехово-Борисово Южное",16.399406,-25.605495,классический каток  ледовый холл ореховый борисово южный,холл,73,47,118
